videopath,caption,split
examples/A_wooden_spoon_stirs_the_hot_soup_in_the_pot._1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video entail the description: ""A wooden spoon stirs the hot soup in the pot.""?
AI: No",train
examples/Shoe_squishes_a_bug._0.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video entail the description: ""Shoe squishes a bug.""?
AI: No",train
examples/A_spatula_scoops_up_cake_batter_into_a_baking_pan._0.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video entail the description: ""A spatula scoops up cake batter into a baking pan.""?
AI: Yes",train
examples/Pushpin_skates_across_a_glossy_desk_surface._1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video entail the description: ""Pushpin skates across a glossy desk surface.""?
AI: Yes",train
examples/An_apple_falls_and_bounces_on_the_hard_ground._1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video entail the description: ""An apple falls and bounces on the hard ground.""?
AI: Yes",train
examples/Coffee_accepting_a_gentle_pour_of_milk_1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video entail the description: ""Coffee accepting a gentle pour of milk.""?
AI: No",train
examples/A_car_brush_lathers_shampoo_onto_a_dirty_vehicle_1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video entail the description: ""A car brush lathers shampoo onto a dirty vehicle.""?
AI: No",train
examples/A_wooden_spoon_stirs_the_hot_soup_in_the_pot._1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video follow the physical laws?
AI: No",train
examples/Shoe_squishes_a_bug._0.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video follow the physical laws?
AI: Yes",train
examples/A_spatula_scoops_up_cake_batter_into_a_baking_pan._0.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video follow the physical laws?
AI: Yes",train
examples/Pushpin_skates_across_a_glossy_desk_surface._1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video follow the physical laws?
AI: No",train
examples/An_apple_falls_and_bounces_on_the_hard_ground._1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video follow the physical laws?
AI: Yes",train
examples/Coffee_accepting_a_gentle_pour_of_milk_1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video follow the physical laws?
AI: No",train
examples/A_car_brush_lathers_shampoo_onto_a_dirty_vehicle_1.mp4,"The following is a conversation between a curious human and AI assistant. The assistant gives helpful, detailed, and polite answers to the user's questions.
Human: <|video|>
Human: Does this video follow the physical laws?
AI: Yes",train
